,threshold,train_dataset_accuracy,test_dataset_accuracy
0,1e-05,0.4554 (92/202),0.4074 (22/54)
0,1.0073969696621643e-05,0.4554 (92/202),0.4074 (22/54)
0,1.0148486544845115e-05,0.4554 (92/202),0.4074 (22/54)
0,1.0223554591934197e-05,0.4554 (92/202),0.4074 (22/54)
0,1.0299177915090215e-05,0.4554 (92/202),0.4074 (22/54)
0,1.037536062167337e-05,0.4554 (92/202),0.4074 (22/54)
0,1.0452106849425901e-05,0.4554 (92/202),0.4074 (22/54)
0,1.0529420766696805e-05,0.4554 (92/202),0.4074 (22/54)
0,1.0607306572668202e-05,0.4554 (92/202),0.4074 (22/54)
0,1.0685768497583504e-05,0.4554 (92/202),0.4074 (22/54)
0,1.076481080297704e-05,0.4554 (92/202),0.4074 (22/54)
0,1.08444377819056e-05,0.4554 (92/202),0.4074 (22/54)
0,1.0924653759181584e-05,0.4554 (92/202),0.4074 (22/54)
0,1.1005463091607877e-05,0.4554 (92/202),0.4074 (22/54)
0,1.1086870168214569e-05,0.4554 (92/202),0.4074 (22/54)
0,1.1168879410497206e-05,0.4554 (92/202),0.4074 (22/54)
0,1.1251495272657026e-05,0.4554 (92/202),0.4074 (22/54)
0,1.1334722241842831e-05,0.4554 (92/202),0.4074 (22/54)
0,1.1418564838394803e-05,0.4554 (92/202),0.4074 (22/54)
0,1.1503027616089865e-05,0.4554 (92/202),0.4074 (22/54)
0,1.1588115162389119e-05,0.4554 (92/202),0.4074 (22/54)
0,1.1673832098686978e-05,0.4554 (92/202),0.4074 (22/54)
0,1.1760183080562142e-05,0.4554 (92/202),0.4074 (22/54)
0,1.1847172798030557e-05,0.4554 (92/202),0.4074 (22/54)
0,1.1934805975800007e-05,0.4554 (92/202),0.4074 (22/54)
0,1.2023087373526816e-05,0.4554 (92/202),0.4074 (22/54)
0,1.2112021786074345e-05,0.4554 (92/202),0.4074 (22/54)
0,1.2201614043773386e-05,0.4554 (92/202),0.4074 (22/54)
0,1.2291869012684615e-05,0.4554 (92/202),0.4074 (22/54)
0,1.2382791594862741e-05,0.4554 (92/202),0.4074 (22/54)
0,1.2474386728622844e-05,0.4554 (92/202),0.4074 (22/54)
0,1.256665938880857e-05,0.4554 (92/202),0.4074 (22/54)
0,1.2659614587062315e-05,0.4554 (92/202),0.4074 (22/54)
0,1.2753257372097507e-05,0.4554 (92/202),0.4074 (22/54)
0,1.2847592829972686e-05,0.4554 (92/202),0.4074 (22/54)
0,1.2942626084367834e-05,0.4554 (92/202),0.4074 (22/54)
0,1.3038362296862639e-05,0.4554 (92/202),0.4074 (22/54)
0,1.313480666721681e-05,0.4554 (92/202),0.4074 (22/54)
0,1.3231964433652608e-05,0.4554 (92/202),0.4074 (22/54)
0,1.3329840873139172e-05,0.4554 (92/202),0.4074 (22/54)
0,1.342844130167926e-05,0.4554 (92/202),0.4074 (22/54)
0,1.3527771074597909e-05,0.4554 (92/202),0.4074 (22/54)
0,1.3627835586833414e-05,0.4554 (92/202),0.4074 (22/54)
0,1.3728640273230183e-05,0.4554 (92/202),0.4074 (22/54)
0,1.3830190608834034e-05,0.4554 (92/202),0.4074 (22/54)
0,1.3932492109189529e-05,0.4554 (92/202),0.4074 (22/54)
0,1.4035550330639517e-05,0.4554 (92/202),0.4074 (22/54)
0,1.4139370870627038e-05,0.4554 (92/202),0.4074 (22/54)
0,1.4243959367999157e-05,0.4554 (92/202),0.4074 (22/54)
0,1.4349321503313348e-05,0.4554 (92/202),0.4074 (22/54)
0,1.4455462999145997e-05,0.4554 (92/202),0.4074 (22/54)
0,1.456238962040319e-05,0.4554 (92/202),0.4074 (22/54)
0,1.4670107174633927e-05,0.4554 (92/202),0.4074 (22/54)
0,1.4778621512345393e-05,0.4554 (92/202),0.4074 (22/54)
0,1.4887938527320821e-05,0.4554 (92/202),0.4074 (22/54)
0,1.499806415693958e-05,0.4554 (92/202),0.4074 (22/54)
0,1.5109004382499626e-05,0.4554 (92/202),0.4074 (22/54)
0,1.5220765229542482e-05,0.4554 (92/202),0.4074 (22/54)
0,1.5333352768180333e-05,0.4554 (92/202),0.4074 (22/54)
0,1.5446773113425828e-05,0.4554 (92/202),0.4074 (22/54)
0,1.5561032425524172e-05,0.4554 (92/202),0.4074 (22/54)
0,1.5676136910287696e-05,0.4554 (92/202),0.4074 (22/54)
0,1.579209281943303e-05,0.4554 (92/202),0.4074 (22/54)
0,1.590890645092046e-05,0.4554 (92/202),0.4074 (22/54)
0,1.6026584149296126e-05,0.4554 (92/202),0.4074 (22/54)
0,1.6145132306036595e-05,0.4554 (92/202),0.4074 (22/54)
0,1.6264557359895943e-05,0.4554 (92/202),0.4074 (22/54)
0,1.6384865797255623e-05,0.4554 (92/202),0.4074 (22/54)
0,1.6506064152476555e-05,0.4554 (92/202),0.4074 (22/54)
0,1.6628159008254162e-05,0.4554 (92/202),0.4074 (22/54)
0,1.6751156995975864e-05,0.4554 (92/202),0.4074 (22/54)
0,1.6875064796081214e-05,0.4554 (92/202),0.4074 (22/54)
0,1.6999889138424882e-05,0.4554 (92/202),0.4074 (22/54)
0,1.712563680264197e-05,0.4554 (92/202),0.4074 (22/54)
0,1.7252314618516356e-05,0.4554 (92/202),0.4074 (22/54)
0,1.73799294663516e-05,0.4554 (92/202),0.4074 (22/54)
0,1.7508488277344758e-05,0.4554 (92/202),0.4074 (22/54)
0,1.7637998033962634e-05,0.4554 (92/202),0.4074 (22/54)
0,1.776846577032117e-05,0.4554 (92/202),0.4074 (22/54)
0,1.789989857256744e-05,0.4554 (92/202),0.4074 (22/54)
0,1.8032303579264503e-05,0.4554 (92/202),0.4074 (22/54)
0,1.816568798177926e-05,0.4554 (92/202),0.4074 (22/54)
0,1.8300059024672822e-05,0.4554 (92/202),0.4074 (22/54)
0,1.8435424006094143e-05,0.4554 (92/202),0.4074 (22/54)
0,1.8571790278176357e-05,0.4554 (92/202),0.4074 (22/54)
0,1.870916524743607e-05,0.4554 (92/202),0.4074 (22/54)
0,1.884755637517577e-05,0.4554 (92/202),0.4074 (22/54)
0,1.8986971177888876e-05,0.4554 (92/202),0.4074 (22/54)
0,1.912741722766811e-05,0.4554 (92/202),0.4074 (22/54)
0,1.926890215261673e-05,0.4554 (92/202),0.4074 (22/54)
0,1.9411433637262807e-05,0.4554 (92/202),0.4074 (22/54)
0,1.9555019422976755e-05,0.4554 (92/202),0.4074 (22/54)
0,1.969966730839155e-05,0.4554 (92/202),0.4074 (22/54)
0,1.984538514982645e-05,0.4554 (92/202),0.4074 (22/54)
0,1.9992180861713682e-05,0.4554 (92/202),0.4074 (22/54)
0,2.014006241702824e-05,0.4554 (92/202),0.4074 (22/54)
0,2.0289037847721093e-05,0.4554 (92/202),0.4074 (22/54)
0,2.043911524515519e-05,0.4554 (92/202),0.4074 (22/54)
0,2.0590302760545083e-05,0.4554 (92/202),0.4074 (22/54)
0,2.074260860539957e-05,0.4554 (92/202),0.4074 (22/54)
0,2.0896041051967857e-05,0.4554 (92/202),0.4074 (22/54)
0,2.1050608433688604e-05,0.4554 (92/202),0.4074 (22/54)
0,2.12063191456427e-05,0.4554 (92/202),0.4074 (22/54)
0,2.1363181645009193e-05,0.4554 (92/202),0.4074 (22/54)
0,2.1521204451524584e-05,0.4554 (92/202),0.4074 (22/54)
0,2.168039614794575e-05,0.4554 (92/202),0.4074 (22/54)
0,2.1840765380515806e-05,0.4554 (92/202),0.4074 (22/54)
0,2.200232085943393e-05,0.4554 (92/202),0.4074 (22/54)
0,2.2165071359328367e-05,0.4554 (92/202),0.4074 (22/54)
0,2.232902571973298e-05,0.4554 (92/202),0.4074 (22/54)
0,2.2494192845567533e-05,0.4554 (92/202),0.4074 (22/54)
0,2.2660581707621068e-05,0.4554 (92/202),0.4074 (22/54)
0,2.2828201343039337e-05,0.4554 (92/202),0.4074 (22/54)
0,2.2997060855815575e-05,0.4554 (92/202),0.4074 (22/54)
0,2.3167169417284943e-05,0.4554 (92/202),0.4074 (22/54)
0,2.333853626662282e-05,0.4554 (92/202),0.4074 (22/54)
0,2.351117071134635e-05,0.4554 (92/202),0.4074 (22/54)
0,2.3685082127820144e-05,0.4554 (92/202),0.4074 (22/54)
0,2.38602799617655e-05,0.4554 (92/202),0.4074 (22/54)
0,2.4036773728773378e-05,0.4554 (92/202),0.4074 (22/54)
0,2.4214573014821423e-05,0.4554 (92/202),0.4074 (22/54)
0,2.439368747679432e-05,0.4554 (92/202),0.4074 (22/54)
0,2.4574126843008484e-05,0.4554 (92/202),0.4074 (22/54)
0,2.4755900913740395e-05,0.4554 (92/202),0.4074 (22/54)
0,2.4939019561758825e-05,0.4554 (92/202),0.4074 (22/54)
0,2.5123492732861277e-05,0.4554 (92/202),0.4074 (22/54)
0,2.530933044641386e-05,0.4554 (92/202),0.4074 (22/54)
0,2.549654279589567e-05,0.4554 (92/202),0.4074 (22/54)
0,2.5685139949446985e-05,0.4554 (92/202),0.4074 (22/54)
0,2.5875132150421437e-05,0.4554 (92/202),0.4074 (22/54)
0,2.6066529717942596e-05,0.4554 (92/202),0.4074 (22/54)
0,2.6259343047464124e-05,0.4554 (92/202),0.4074 (22/54)
0,2.645358261133458e-05,0.4554 (92/202),0.4074 (22/54)
0,2.6649258959366122e-05,0.4554 (92/202),0.4074 (22/54)
0,2.6846382719407717e-05,0.4554 (92/202),0.4074 (22/54)
0,2.7044964597922025e-05,0.4554 (92/202),0.4074 (22/54)
0,2.7245015380567162e-05,0.4554 (92/202),0.4074 (22/54)
0,2.7446545932782418e-05,0.4554 (92/202),0.4074 (22/54)
0,2.7649567200378353e-05,0.4554 (92/202),0.4074 (22/54)
0,2.7854090210131524e-05,0.4554 (92/202),0.4074 (22/54)
0,2.8060126070383055e-05,0.4554 (92/202),0.4074 (22/54)
0,2.8267685971642183e-05,0.4554 (92/202),0.4074 (22/54)
0,2.8476781187194006e-05,0.4554 (92/202),0.4074 (22/54)
0,2.8687423073711713e-05,0.4554 (92/202),0.4074 (22/54)
0,2.8899623071873632e-05,0.4554 (92/202),0.4074 (22/54)
0,2.9113392706984262e-05,0.4554 (92/202),0.4074 (22/54)
0,2.9328743589600502e-05,0.4554 (92/202),0.4074 (22/54)
0,2.9545687416162173e-05,0.4554 (92/202),0.4074 (22/54)
0,2.9764235969627252e-05,0.4554 (92/202),0.4074 (22/54)
0,2.9984401120112084e-05,0.4554 (92/202),0.4074 (22/54)
0,3.0206194825535718e-05,0.4554 (92/202),0.4074 (22/54)
0,3.042962913226963e-05,0.4554 (92/202),0.4074 (22/54)
0,3.0654716175791876e-05,0.4554 (92/202),0.4074 (22/54)
0,3.0881468181346466e-05,0.4554 (92/202),0.4074 (22/54)
0,3.110989746460698e-05,0.4554 (92/202),0.4074 (22/54)
0,3.134001643234572e-05,0.4554 (92/202),0.4074 (22/54)
0,3.157183758310751e-05,0.4554 (92/202),0.4074 (22/54)
0,3.180537350788847e-05,0.4554 (92/202),0.4074 (22/54)
0,3.2040636890820124e-05,0.4554 (92/202),0.4074 (22/54)
0,3.2277640509857944e-05,0.4554 (92/202),0.4074 (22/54)
0,3.2516397237475605e-05,0.4554 (92/202),0.4074 (22/54)
0,3.27569200413641e-05,0.4554 (92/202),0.4074 (22/54)
0,3.299922198513594e-05,0.4554 (92/202),0.4074 (22/54)
0,3.3243316229035017e-05,0.4554 (92/202),0.4074 (22/54)
0,3.3489216030650926e-05,0.4554 (92/202),0.4074 (22/54)
0,3.3736934745639314e-05,0.4554 (92/202),0.4074 (22/54)
0,3.3986485828447225e-05,0.4554 (92/202),0.4074 (22/54)
0,3.4237882833043755e-05,0.4554 (92/202),0.4074 (22/54)
0,3.4491139413656515e-05,0.4554 (92/202),0.4074 (22/54)
0,3.4746269325512815e-05,0.4554 (92/202),0.4074 (22/54)
0,3.500328642558702e-05,0.4554 (92/202),0.4074 (22/54)
0,3.526220467335314e-05,0.4554 (92/202),0.4074 (22/54)
0,3.5523038131542884e-05,0.4554 (92/202),0.4074 (22/54)
0,3.578580096690981e-05,0.4554 (92/202),0.4074 (22/54)
0,3.60505074509983e-05,0.4554 (92/202),0.4074 (22/54)
0,3.631717196091896e-05,0.4554 (92/202),0.4074 (22/54)
0,3.658580898012948e-05,0.4554 (92/202),0.4074 (22/54)
0,3.685643309922116e-05,0.4554 (92/202),0.4074 (22/54)
0,3.712905901671169e-05,0.4554 (92/202),0.4074 (22/54)
0,3.740370153984301e-05,0.4554 (92/202),0.4074 (22/54)
0,3.768037558538588e-05,0.4554 (92/202),0.4074 (22/54)
0,3.795909618044993e-05,0.4554 (92/202),0.4074 (22/54)
0,3.823987846329982e-05,0.4554 (92/202),0.4074 (22/54)
0,3.85227376841777e-05,0.4554 (92/202),0.4074 (22/54)
0,3.880768920613107e-05,0.4554 (92/202),0.4074 (22/54)
