,threshold,train_dataset_accuracy,test_dataset_accuracy
0,0.1,0.6682 (141/211),0.4667 (21/45)
0,0.12689610031679222,0.6682 (141/211),0.4667 (21/45)
0,0.16102620275609392,0.6682 (141/211),0.4667 (21/45)
0,0.20433597178569418,0.6682 (141/211),0.4667 (21/45)
0,0.2592943797404667,0.6777 (143/211),0.4667 (21/45)
0,0.32903445623126687,0.6777 (143/211),0.4667 (21/45)
0,0.41753189365604015,0.7156 (151/211),0.4667 (21/45)
0,0.5298316906283709,0.7156 (151/211),0.4667 (21/45)
0,0.6723357536499337,0.7156 (151/211),0.4667 (21/45)
0,0.8531678524172808,0.7156 (151/211),0.4667 (21/45)
0,1.0826367338740546,0.673 (142/211),0.4667 (21/45)
0,1.373823795883263,0.673 (142/211),0.4667 (21/45)
0,1.743328822199988,0.673 (142/211),0.6444 (29/45)
0,2.2122162910704493,0.673 (142/211),0.6444 (29/45)
0,2.807216203941177,0.673 (142/211),0.4667 (21/45)
0,3.562247890262442,0.673 (142/211),0.4667 (21/45)
0,4.520353656360243,0.6209 (131/211),0.4222 (19/45)
0,5.736152510448679,0.6209 (131/211),0.4222 (19/45)
0,7.27895384398315,0.7204 (152/211),0.4222 (19/45)
0,9.23670857187386,0.7204 (152/211),0.4222 (19/45)
0,11.721022975334806,0.6825 (144/211),0.4222 (19/45)
0,14.873521072935118,0.7725 (163/211),0.6222 (28/45)
0,18.873918221350976,0.7488 (158/211),0.6222 (28/45)
0,23.95026619987486,0.7346 (155/211),0.6222 (28/45)
0,30.39195382313198,0.6635 (140/211),0.6222 (28/45)
0,38.56620421163472,0.6588 (139/211),0.6222 (28/45)
0,48.93900918477494,0.654 (138/211),0.6222 (28/45)
0,62.10169418915616,0.654 (138/211),0.6222 (28/45)
0,78.80462815669912,0.6635 (140/211),0.6222 (28/45)
0,100.0,0.6635 (140/211),0.6222 (28/45)
