,n_estimators,min_weight_fraction_leaf,min_samples_split,min_samples_leaf,max_samples,max_depth,bootstrap,ah,ap,train_avg_accuracy,train_avg_recall,train_avg_specificity,train_avg_f1,train_avg_precision,train_std_accuracy,train_std_recall,train_std_specificity,train_std_f1,train_std_precision,test_accuracy,test_recall,test_specificity,test_f1,test_precision,train_dataset_accuracy,test_dataset_accuracy
0,10,0.2,2,1,0.1,1,True,0.143845,0.069519,0.5043579931972789,0.0,0.9683720930232558,0.0,0.0,0.12269458086471352,0.0,0.0194979347873023,0.0,0.0,0.19672131147540983,0.0,1.0,0.0,0.0,0.8205 (195/160),0.1967 (61/12)
0,32,0.2,2,1,0.1,1,True,0.143845,0.069519,0.5043579931972789,0.0,0.9683720930232558,0.0,0.0,0.12269458086471352,0.0,0.0194979347873023,0.0,0.0,0.19672131147540983,0.0,1.0,0.0,0.0,0.8205 (195/160),0.1967 (61/12)
0,55,0.2,2,1,0.1,1,True,0.143845,0.069519,0.5043579931972789,0.0,0.9683720930232558,0.0,0.0,0.12269458086471352,0.0,0.0194979347873023,0.0,0.0,0.19672131147540983,0.0,1.0,0.0,0.0,0.8205 (195/160),0.1967 (61/12)
0,77,0.2,2,1,0.1,1,True,0.143845,0.069519,0.3681972789115647,0.6637931034482758,0.3363704318936877,0.377683615819209,0.3111111111111111,0.10113329431054625,0.23571977626225094,0.17647808289555383,0.1655012881222871,0.1517388920416407,0.8032786885245902,1.0,0.0,0.8909090909090909,0.8032786885245902,0.8205 (195/160),0.1967 (61/12)
0,100,0.2,2,1,0.1,1,True,0.143845,0.069519,0.3171768707482993,0.25,0.6938704318936877,0.049999999999999996,0.027777777777777776,0.07227891156462585,0.25,0.21267928313424042,0.05,0.027777777777777776,0.19672131147540983,0.0,1.0,0.0,0.0,0.8205 (195/160),0.1967 (61/12)
0,10,0.5,2,1,0.1,1,True,0.143845,0.069519,0.38828656462585037,0.7068965517241379,0.36,0.39845186260280596,0.3177083333333333,0.12117985609436799,0.2391108512955715,0.2315167380558045,0.18035016832665068,0.1585193990786593,0.19672131147540983,0.0,1.0,0.0,0.0,0.8205 (195/160),0.1967 (61/12)
0,32,0.5,2,1,0.1,1,True,0.143845,0.069519,0.29644982993197283,0.25,0.6585714285714286,0.04716981132075471,0.026041666666666668,0.08558237569202487,0.25,0.2276215381413858,0.04716981132075471,0.026041666666666668,0.19672131147540983,0.0,1.0,0.0,0.0,0.8205 (195/160),0.1967 (61/12)
0,55,0.5,2,1,0.1,1,True,0.143845,0.069519,0.3168579931972789,0.25,0.73,0.04716981132075471,0.026041666666666668,0.08052407087259224,0.25,0.24406283343980636,0.04716981132075471,0.026041666666666668,0.19672131147540983,0.0,1.0,0.0,0.0,0.8205 (195/160),0.1967 (61/12)
0,77,0.5,2,1,0.1,1,True,0.143845,0.069519,0.29644982993197283,0.25,0.69,0.04716981132075471,0.026041666666666668,0.06946498586993699,0.25,0.23685438564654024,0.04716981132075471,0.026041666666666668,0.19672131147540983,0.0,1.0,0.0,0.0,0.8205 (195/160),0.1967 (61/12)
0,100,0.5,2,1,0.1,1,True,0.143845,0.069519,0.3168579931972789,0.25,0.73,0.04716981132075471,0.026041666666666668,0.08052407087259224,0.25,0.24406283343980636,0.04716981132075471,0.026041666666666668,0.19672131147540983,0.0,1.0,0.0,0.0,0.8205 (195/160),0.1967 (61/12)
0,10,0.2,4,1,0.1,1,True,0.143845,0.069519,0.5008503401360545,0.9369458128078818,0.1638704318936877,0.602154459476653,0.4995075578699272,0.12066743004323083,0.036722918222645305,0.07587603662602294,0.13788921216241287,0.1404789169681533,0.8032786885245902,1.0,0.0,0.8909090909090909,0.8032786885245902,0.8205 (195/160),0.1967 (61/12)
0,32,0.2,4,1,0.1,1,True,0.143845,0.069519,0.5043579931972789,0.0,0.9683720930232558,0.0,0.0,0.12269458086471352,0.0,0.0194979347873023,0.0,0.0,0.19672131147540983,0.0,1.0,0.0,0.0,0.8205 (195/160),0.1967 (61/12)
0,55,0.2,4,1,0.1,1,True,0.143845,0.069519,0.5043579931972789,0.0,0.9683720930232558,0.0,0.0,0.12269458086471352,0.0,0.0194979347873023,0.0,0.0,0.19672131147540983,0.0,1.0,0.0,0.0,0.8205 (195/160),0.1967 (61/12)
0,77,0.2,4,1,0.1,1,True,0.143845,0.069519,0.5043579931972789,0.0,0.9683720930232558,0.0,0.0,0.12269458086471352,0.0,0.0194979347873023,0.0,0.0,0.19672131147540983,0.0,1.0,0.0,0.0,0.8205 (195/160),0.1967 (61/12)
0,100,0.2,4,1,0.1,1,True,0.143845,0.069519,0.5043579931972789,0.0,0.9683720930232558,0.0,0.0,0.12269458086471352,0.0,0.0194979347873023,0.0,0.0,0.19672131147540983,0.0,1.0,0.0,0.0,0.8205 (195/160),0.1967 (61/12)
0,10,0.5,4,1,0.1,1,True,0.143845,0.069519,0.37298044217687076,0.4568965517241379,0.5675,0.22898799313893653,0.18820382882882883,0.1142367669346959,0.2661267075936747,0.23816573361142168,0.17194560027037858,0.15543300783478986,0.19672131147540983,0.0,1.0,0.0,0.0,0.8205 (195/160),0.1967 (61/12)
0,32,0.5,4,1,0.1,1,True,0.143845,0.069519,0.3168579931972789,0.25,0.73,0.04716981132075471,0.026041666666666668,0.08052407087259224,0.25,0.24406283343980636,0.04716981132075471,0.026041666666666668,0.19672131147540983,0.0,1.0,0.0,0.0,0.8205 (195/160),0.1967 (61/12)
0,55,0.5,4,1,0.1,1,True,0.143845,0.069519,0.29644982993197283,0.25,0.6585714285714286,0.04716981132075471,0.026041666666666668,0.08558237569202487,0.25,0.2276215381413858,0.04716981132075471,0.026041666666666668,0.19672131147540983,0.0,1.0,0.0,0.0,0.8205 (195/160),0.1967 (61/12)
0,77,0.5,4,1,0.1,1,True,0.143845,0.069519,0.3168579931972789,0.25,0.73,0.04716981132075471,0.026041666666666668,0.08052407087259224,0.25,0.24406283343980636,0.04716981132075471,0.026041666666666668,0.19672131147540983,0.0,1.0,0.0,0.0,0.8205 (195/160),0.1967 (61/12)
0,100,0.5,4,1,0.1,1,True,0.143845,0.069519,0.3168579931972789,0.25,0.73,0.04716981132075471,0.026041666666666668,0.08052407087259224,0.25,0.24406283343980636,0.04716981132075471,0.026041666666666668,0.19672131147540983,0.0,1.0,0.0,0.0,0.8205 (195/160),0.1967 (61/12)
0,10,0.2,6,1,0.1,1,True,0.143845,0.069519,0.5110544217687074,0.9583743842364532,0.14601328903654484,0.6107070910556004,0.4993720565149137,0.12695153908460438,0.032800570692848294,0.06801123742295202,0.14249447960166645,0.14039645868430353,0.8032786885245902,1.0,0.0,0.8909090909090909,0.8032786885245902,0.8205 (195/160),0.1967 (61/12)
0,32,0.2,6,1,0.1,1,True,0.143845,0.069519,0.4906462585034014,0.8852216748768473,0.2113704318936877,0.5816309842402617,0.5001355013550135,0.116148494263594,0.08127680738622284,0.09656185888213557,0.1327911358536098,0.13982078796749062,0.8032786885245902,1.0,0.0,0.8909090909090909,0.8032786885245902,0.8205 (195/160),0.1967 (61/12)
0,55,0.2,6,1,0.1,1,True,0.143845,0.069519,0.5043579931972789,0.0,0.9683720930232558,0.0,0.0,0.12269458086471352,0.0,0.0194979347873023,0.0,0.0,0.19672131147540983,0.0,1.0,0.0,0.0,0.8205 (195/160),0.1967 (61/12)
0,77,0.2,6,1,0.1,1,True,0.143845,0.069519,0.3171768707482993,0.47916666666666663,0.47387043189368766,0.20714285714285713,0.1473429951690821,0.07227891156462585,0.27716947282604315,0.24589999488728864,0.1481748369762058,0.1133722869826216,0.19672131147540983,0.0,1.0,0.0,0.0,0.8205 (195/160),0.1967 (61/12)
0,100,0.2,6,1,0.1,1,True,0.143845,0.069519,0.5008503401360545,0.9369458128078818,0.15601328903654485,0.6017888973771327,0.49755799755799757,0.11775599118572419,0.036722918222645305,0.06125444056467132,0.13688226394057626,0.13777647604841953,0.8032786885245902,1.0,0.0,0.8909090909090909,0.8032786885245902,0.8205 (195/160),0.1967 (61/12)
0,10,0.5,6,1,0.1,1,True,0.143845,0.069519,0.3168579931972789,0.25,0.73,0.04716981132075471,0.026041666666666668,0.08052407087259224,0.25,0.24406283343980636,0.04716981132075471,0.026041666666666668,0.19672131147540983,0.0,1.0,0.0,0.0,0.8205 (195/160),0.1967 (61/12)
0,32,0.5,6,1,0.1,1,True,0.143845,0.069519,0.29644982993197283,0.25,0.6585714285714286,0.04716981132075471,0.026041666666666668,0.08558237569202487,0.25,0.2276215381413858,0.04716981132075471,0.026041666666666668,0.19672131147540983,0.0,1.0,0.0,0.0,0.8205 (195/160),0.1967 (61/12)
0,55,0.5,6,1,0.1,1,True,0.143845,0.069519,0.3168579931972789,0.25,0.73,0.04716981132075471,0.026041666666666668,0.08052407087259224,0.25,0.24406283343980636,0.04716981132075471,0.026041666666666668,0.19672131147540983,0.0,1.0,0.0,0.0,0.8205 (195/160),0.1967 (61/12)
0,77,0.5,6,1,0.1,1,True,0.143845,0.069519,0.3168579931972789,0.25,0.73,0.04716981132075471,0.026041666666666668,0.08052407087259224,0.25,0.24406283343980636,0.04716981132075471,0.026041666666666668,0.19672131147540983,0.0,1.0,0.0,0.0,0.8205 (195/160),0.1967 (61/12)
0,100,0.5,6,1,0.1,1,True,0.143845,0.069519,0.3168579931972789,0.25,0.73,0.04716981132075471,0.026041666666666668,0.08052407087259224,0.25,0.24406283343980636,0.04716981132075471,0.026041666666666668,0.19672131147540983,0.0,1.0,0.0,0.0,0.8205 (195/160),0.1967 (61/12)
0,10,0.2,2,2,0.1,1,True,0.143845,0.069519,0.5043579931972789,0.0,0.9683720930232558,0.0,0.0,0.12269458086471352,0.0,0.0194979347873023,0.0,0.0,0.19672131147540983,0.0,1.0,0.0,0.0,0.8205 (195/160),0.1967 (61/12)
0,32,0.2,2,2,0.1,1,True,0.143845,0.069519,0.5094600340136054,0.0,0.9783720930232558,0.0,0.0,0.12231534902039133,0.0,0.012557421742334486,0.0,0.0,0.19672131147540983,0.0,1.0,0.0,0.0,0.8205 (195/160),0.1967 (61/12)
0,55,0.2,2,2,0.1,1,True,0.143845,0.069519,0.5059523809523809,0.9283251231527093,0.1863704318936877,0.6024322169059011,0.5039643301838423,0.1206194819242988,0.04304899210765322,0.07727893064953038,0.13759367287672353,0.14108333404077594,0.8032786885245902,1.0,0.0,0.8909090909090909,0.8032786885245902,0.8205 (195/160),0.1967 (61/12)
0,77,0.2,2,2,0.1,1,True,0.143845,0.069519,0.5043579931972789,0.0,0.9683720930232558,0.0,0.0,0.12269458086471352,0.0,0.0194979347873023,0.0,0.0,0.19672131147540983,0.0,1.0,0.0,0.0,0.8205 (195/160),0.1967 (61/12)
0,100,0.2,2,2,0.1,1,True,0.143845,0.069519,0.48905187074829926,0.0,0.9148006644518272,0.0,0.0,0.13236047672025536,0.0,0.046048879615483325,0.0,0.0,0.19672131147540983,0.0,1.0,0.0,0.0,0.8205 (195/160),0.1967 (61/12)
0,10,0.5,2,2,0.1,1,True,0.143845,0.069519,0.3168579931972789,0.25,0.73,0.04716981132075471,0.026041666666666668,0.08052407087259224,0.25,0.24406283343980636,0.04716981132075471,0.026041666666666668,0.19672131147540983,0.0,1.0,0.0,0.0,0.8205 (195/160),0.1967 (61/12)
0,32,0.5,2,2,0.1,1,True,0.143845,0.069519,0.3015518707482993,0.25,0.6685714285714286,0.04716981132075471,0.026041666666666668,0.0890988107937176,0.25,0.2316342413562975,0.04716981132075471,0.026041666666666668,0.19672131147540983,0.0,1.0,0.0,0.0,0.8205 (195/160),0.1967 (61/12)
0,55,0.5,2,2,0.1,1,True,0.143845,0.069519,0.29644982993197283,0.25,0.6585714285714286,0.04716981132075471,0.026041666666666668,0.08558237569202487,0.25,0.2276215381413858,0.04716981132075471,0.026041666666666668,0.19672131147540983,0.0,1.0,0.0,0.0,0.8205 (195/160),0.1967 (61/12)
0,77,0.5,2,2,0.1,1,True,0.143845,0.069519,0.3168579931972789,0.25,0.73,0.04716981132075471,0.026041666666666668,0.08052407087259224,0.25,0.24406283343980636,0.04716981132075471,0.026041666666666668,0.19672131147540983,0.0,1.0,0.0,0.0,0.8205 (195/160),0.1967 (61/12)
0,100,0.5,2,2,0.1,1,True,0.143845,0.069519,0.29644982993197283,0.25,0.6585714285714286,0.04716981132075471,0.026041666666666668,0.08558237569202487,0.25,0.2276215381413858,0.04716981132075471,0.026041666666666668,0.19672131147540983,0.0,1.0,0.0,0.0,0.8205 (195/160),0.1967 (61/12)
0,10,0.2,4,2,0.1,1,True,0.143845,0.069519,0.5212585034013605,0.9655172413793103,0.15601328903654485,0.6165395787944808,0.5032515793385359,0.130035330369271,0.03448275862068967,0.06125444056467132,0.14475699389041735,0.14116581217131954,0.8032786885245902,1.0,0.0,0.8909090909090909,0.8032786885245902,0.8205 (195/160),0.1967 (61/12)
0,32,0.2,4,2,0.1,1,True,0.143845,0.069519,0.3171768707482993,0.25,0.6938704318936877,0.049999999999999996,0.027777777777777776,0.07227891156462585,0.25,0.21267928313424042,0.05,0.027777777777777776,0.19672131147540983,0.0,1.0,0.0,0.0,0.8205 (195/160),0.1967 (61/12)
0,55,0.2,4,2,0.1,1,True,0.143845,0.069519,0.3835034013605442,0.7068965517241379,0.3113704318936877,0.3984848484848485,0.31493993993993996,0.11196432155682388,0.2391108512955715,0.17284584926281787,0.1775315386044558,0.15447278221113145,0.8032786885245902,1.0,0.0,0.8909090909090909,0.8032786885245902,0.8205 (195/160),0.1967 (61/12)
0,77,0.2,4,2,0.1,1,True,0.143845,0.069519,0.3835034013605442,0.7068965517241379,0.3113704318936877,0.3984848484848485,0.31493993993993996,0.11196432155682388,0.2391108512955715,0.17284584926281787,0.1775315386044558,0.15447278221113145,0.19672131147540983,0.0,1.0,0.0,0.0,0.8205 (195/160),0.1967 (61/12)
0,100,0.2,4,2,0.1,1,True,0.143845,0.069519,0.5059523809523809,0.9283251231527093,0.1863704318936877,0.6024322169059011,0.5039643301838423,0.1206194819242988,0.04304899210765322,0.07727893064953038,0.13759367287672353,0.14108333404077594,0.8032786885245902,1.0,0.0,0.8909090909090909,0.8032786885245902,0.8205 (195/160),0.1967 (61/12)
0,10,0.5,4,2,0.1,1,True,0.143845,0.069519,0.327062074829932,0.25,0.75,0.04716981132075471,0.026041666666666668,0.08732620855037537,0.25,0.25,0.04716981132075471,0.026041666666666668,0.19672131147540983,0.0,1.0,0.0,0.0,0.8205 (195/160),0.1967 (61/12)
0,32,0.5,4,2,0.1,1,True,0.143845,0.069519,0.3066539115646259,0.5,0.4385714285714286,0.21383647798742136,0.15104166666666666,0.0927626798966126,0.28867513459481287,0.2487342105199709,0.1573584402917837,0.11888241885951382,0.19672131147540983,0.0,1.0,0.0,0.0,0.8205 (195/160),0.1967 (61/12)
0,55,0.5,4,2,0.1,1,True,0.143845,0.069519,0.3168579931972789,0.25,0.73,0.04716981132075471,0.026041666666666668,0.08052407087259224,0.25,0.24406283343980636,0.04716981132075471,0.026041666666666668,0.19672131147540983,0.0,1.0,0.0,0.0,0.8205 (195/160),0.1967 (61/12)
0,77,0.5,4,2,0.1,1,True,0.143845,0.069519,0.3168579931972789,0.25,0.73,0.04716981132075471,0.026041666666666668,0.08052407087259224,0.25,0.24406283343980636,0.04716981132075471,0.026041666666666668,0.19672131147540983,0.0,1.0,0.0,0.0,0.8205 (195/160),0.1967 (61/12)
0,100,0.5,4,2,0.1,1,True,0.143845,0.069519,0.3168579931972789,0.25,0.73,0.04716981132075471,0.026041666666666668,0.08052407087259224,0.25,0.24406283343980636,0.04716981132075471,0.026041666666666668,0.19672131147540983,0.0,1.0,0.0,0.0,0.8205 (195/160),0.1967 (61/12)
0,10,0.2,6,2,0.1,1,True,0.143845,0.069519,0.49914965986394555,0.0,0.9625581395348837,0.0,0.0,0.11775599118572419,0.0,0.021717742906427966,0.0,0.0,0.19672131147540983,0.0,1.0,0.0,0.0,0.8205 (195/160),0.1967 (61/12)
0,32,0.2,6,2,0.1,1,True,0.143845,0.069519,0.5043579931972789,0.0,0.9683720930232558,0.0,0.0,0.12269458086471352,0.0,0.0194979347873023,0.0,0.0,0.19672131147540983,0.0,1.0,0.0,0.0,0.8205 (195/160),0.1967 (61/12)
0,55,0.2,6,2,0.1,1,True,0.143845,0.069519,0.5043579931972789,0.0,0.9683720930232558,0.0,0.0,0.12269458086471352,0.0,0.0194979347873023,0.0,0.0,0.19672131147540983,0.0,1.0,0.0,0.0,0.8205 (195/160),0.1967 (61/12)
