,exposure_id,chemical_name,test_cas,molecular_weight,cell_line,endpoint,timepoint_hour,insert,passive_dosing,plate_size,solvent,conc_determination_nominal_or_measured,medium,fbs,ec50,ec50_ci_lower,ec50_ci_upper,ec10,ec10_ci_lower,ec10_ci_upper,ntc,smiles,mol_weight,melting_point,water_solubility,pubchem2d,atom_number,alone_atom_number,bonds_number,doubleBond,tripleBond,ring_number,MorganDensity,LogP,oh_count,species,genus,family,tax_order,class
0,3086,Propiconazole,60207-90-1,342.2,RTgill-W1,alamarBlue,24,False,False,24,Dimethyl sulfoxide (DMSO),me,L15/ex,0.0,18.95433012,17.57542373,20.4414207,11.28745715,7.732877592,16.47597384,8.28282982,CCCC1COC(CN2C=NC=N2)(O1)C1=C(Cl)C=C(Cl)C=C1,342.2200012207031,77.4101,0.00131162,11100000011100110011000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101100010010000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000011100000000000000000000000001111000000010000010000000000000000000000000000000110000010110111000011001100000100110001101110001100010000110000010000001010000000000101000100000001000100000010000110010010000000000000100100000000000001011001100001000010110000000000111011100100000000000000010000000101010001000100110110010111000100010100000011011101100011001101001110011000000000000001011001100000000000011000111101010100000000111100100001100000010100000000011100000010000000000000000000000000000000000100000010000000000000000000010000000000000000000000000000000000100000010000000000000000000000000000000000000000000000000000000000,22,0,24,5,0,3,1.4090909090909092,3.6534000000000018,0,mykiss,Oncorhynchus,Salmonidae,Salmoniformes,Actinopterygii
1,3415,Cyproconazole,94361-06-5,291.77,RTgill-W1,alamarBlue,24,False,False,24,Dimethyl sulfoxide (DMSO),me,L15/ex,0.0,44.64208533,40.94936813,48.66780303,20.04691283,6.698360152,59.99658201,9.933340055,CC(C1CC1)C(O)(CN1C=NC=N1)C1=CC=C(Cl)C=C1,291.78,111.851,0.00149072,11100000011100110010000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000101100000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000011100000000000000000000000001111000000010000010000000100000000000000000000000110101000110110000011001100000100100001101110001000010000110000010000001001000000000101000100000001000100000010000110010010000000000000100100000000000001011001100001000010110000000000111011100100000000000000010000000101010001000100010100010111000100010100000011001101100010001100001000111000000000000001011001100000000000011000110001001100000000111100100001100000011100000000011101000010000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,20,0,22,5,0,3,1.4,2.865400000000001,1,mykiss,Oncorhynchus,Salmonidae,Salmoniformes,Actinopterygii
2,3456,Veloutone,65443-14-3,196.33,RTgutGC,CFDA-AM,24,False,False,24,Dimethyl sulfoxide (DMSO),me,L15/ex,0.0,3.2193653610000004,3.018992582,3.433037029,2.220069108,1.699220199,2.900569829,1.3966246409999998,CCCCCC1(C)CCC(C)(C)C1=O,196.33399963378903,4.0372,0.000873509,11100000011100000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000000000000000000000000000111000000100100000001000000000000000000000100000000000000000000000000000000000000000000010000000000010000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000010010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000010001000100011000000100011110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000,14,0,14,1,0,1,1.1428571428571428,3.962100000000003,0,mykiss,Oncorhynchus,Salmonidae,Salmoniformes,Actinopterygii
3,2763,Veloutone,65443-14-3,196.33,RTgutGC,Neutral Red,24,False,False,24,Dimethyl sulfoxide (DMSO),me,L15/ex,0.0,2.81176058,2.698236572,2.93006093,2.65462164,2.565770485,2.74654966,2.546363451,CCCCCC1(C)CCC(C)(C)C1=O,196.33399963378903,4.0372,0.000873509,11100000011100000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000000000000000000000000000111000000100100000001000000000000000000000100000000000000000000000000000000000000000000010000000000010000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000010010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000010001000100011000000100011110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000,14,0,14,1,0,1,1.1428571428571428,3.962100000000003,0,mykiss,Oncorhynchus,Salmonidae,Salmoniformes,Actinopterygii
4,2862,Veloutone,65443-14-3,196.33,RTgutGC,alamarBlue,24,False,False,24,Dimethyl sulfoxide (DMSO),me,L15/ex,0.0,2.005857207,1.751532443,2.297110255,1.070128446,0.6778640229999999,1.68938733,0.520700866,CCCCCC1(C)CCC(C)(C)C1=O,196.33399963378903,4.0372,0.000873509,11100000011100000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000000000000000000000000000111000000100100000001000000000000000000000100000000000000000000000000000000000000000000010000000000010000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000010010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000010001000100011000000100011110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000,14,0,14,1,0,1,1.1428571428571428,3.962100000000003,0,mykiss,Oncorhynchus,Salmonidae,Salmoniformes,Actinopterygii
5,3000,Verdox,88-41-5,198.3,RTgutGC,alamarBlue,24,False,False,24,Dimethyl sulfoxide (DMSO),me,L15/ex,0.0,4.4120533360000005,3.814128498,5.10371233,1.78531409,1.007372765,3.1640188310000004,1.256624218,CC(=O)OC1CCCCC1C(C)(C)C,198.30599975585938,-6.61724,0.000153595,11100000011100000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000000000000000000000000000111100010100101000001000000000000010000000100000100000000000000000000000010000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000100000000000000000000001000000000000000000000000000000000000000001100000001100000011100000000011111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000,14,0,14,1,0,1,1.2142857142857142,3.1544000000000016,0,mykiss,Oncorhynchus,Salmonidae,Salmoniformes,Actinopterygii
6,3400,Verdox,88-41-5,198.3,RTgutGC,CFDA-AM,24,False,False,24,Dimethyl sulfoxide (DMSO),me,L15/ex,0.0,7.512729398999999,6.287703725,8.976425335,3.641026478,2.407564901,5.506424274,1.046330175,CC(=O)OC1CCCCC1C(C)(C)C,198.30599975585938,-6.61724,0.000153595,11100000011100000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000000000000000000000000000111100010100101000001000000000000010000000100000100000000000000000000000010000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000100000000000000000000001000000000000000000000000000000000000000001100000001100000011100000000011111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000,14,0,14,1,0,1,1.2142857142857142,3.1544000000000016,0,mykiss,Oncorhynchus,Salmonidae,Salmoniformes,Actinopterygii
7,3217,Verdox,88-41-5,198.3,RTgutGC,Neutral Red,24,False,False,24,Dimethyl sulfoxide (DMSO),me,L15/ex,0.0,7.519704961,7.139673144,7.919965182,6.606920539,5.8023136389999985,7.523102287,0.584751979,CC(=O)OC1CCCCC1C(C)(C)C,198.30599975585938,-6.61724,0.000153595,11100000011100000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000000000000000000000000000111100010100101000001000000000000010000000100000100000000000000000000000010000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000100000000000000000000001000000000000000000000000000000000000000001100000001100000011100000000011111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000,14,0,14,1,0,1,1.2142857142857142,3.1544000000000016,0,mykiss,Oncorhynchus,Salmonidae,Salmoniformes,Actinopterygii
8,3136,Cetalox,3738-00-9,236.39,RTgutGC,CFDA-AM,24,False,False,24,Dimethyl sulfoxide (DMSO),me,L15/ex,0.0,2.615971358,2.221772263,3.080111431,1.494423221,1.059307979,2.108263893,0.210019055,CC12CCC3C(C)(C)CCCC3(C)C1CCO2,236.3990020751953,33.8039,3.3101799999999995e-05,11100000011110000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100100000000000000000000000000000001100000110000000000000000000000000000000000000000000000000000001001000110000000000000000000000000000000001101000000000000000000000000000000000000000000000111101000100101000001000000000000010000000100000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000100000000000000000000001000000000000000000000000000000000000000001100000001100000011110000000011111000000000000000000000000000000000000000000000000000000000000000110000000000000000000110000000000000000000110000000000000000000000000000000000000000000000000000000000000,17,0,19,0,0,3,0.8823529411764706,4.408000000000004,0,mykiss,Oncorhynchus,Salmonidae,Salmoniformes,Actinopterygii
9,2699,Cetalox,3738-00-9,236.39,RTgutGC,alamarBlue,24,False,False,24,Dimethyl sulfoxide (DMSO),me,L15/ex,0.0,1.712351578,1.38197967,2.121701202,0.7914105159999999,0.495312638,1.264515693,0.366659971,CC12CCC3C(C)(C)CCCC3(C)C1CCO2,236.3990020751953,33.8039,3.3101799999999995e-05,11100000011110000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100100000000000000000000000000000001100000110000000000000000000000000000000000000000000000000000001001000110000000000000000000000000000000001101000000000000000000000000000000000000000000000111101000100101000001000000000000010000000100000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000100000000000000000000001000000000000000000000000000000000000000001100000001100000011110000000011111000000000000000000000000000000000000000000000000000000000000000110000000000000000000110000000000000000000110000000000000000000000000000000000000000000000000000000000000,17,0,19,0,0,3,0.8823529411764706,4.408000000000004,0,mykiss,Oncorhynchus,Salmonidae,Salmoniformes,Actinopterygii
